fecha,hora,prediccion_frio_kw,y_true
2022-10-23,23:59:00,17528.189547632435,20189.0
2022-10-24,23:59:00,20783.497703759982,22990.0
2022-10-25,23:59:00,23734.138797304255,26427.0
2022-10-26,23:59:00,24100.879098825753,24957.0
2022-10-27,23:59:00,22794.696907982336,22048.0
2022-10-28,23:59:00,21010.625033939777,17342.0
2022-10-29,23:59:00,18586.126661569167,15813.0
2022-10-30,23:59:00,16395.40092572827,11763.5
2022-10-31,23:59:00,11827.534866105803,7714.0
2022-11-01,23:59:00,11989.253541551028,16144.0
2022-11-02,23:59:00,16002.768218919675,12401.0
2022-11-03,23:59:00,15518.482867784543,15177.0
2022-11-04,23:59:00,16738.949457891846,17596.0
2022-11-05,23:59:00,18067.45941759519,17489.0
2022-11-06,23:59:00,17113.363282328988,16901.0
2022-11-07,23:59:00,14967.346629925436,14178.0
2022-11-08,23:59:00,16176.112605138645,17277.0
2022-11-09,23:59:00,18731.0641298846,13477.0
2022-11-10,23:59:00,16993.524611883473,19220.0
2022-11-11,23:59:00,20303.170338834778,16966.0
2022-11-12,23:59:00,18043.22635042954,13344.0
2022-11-13,23:59:00,14449.247304926464,15376.0
2022-11-14,23:59:00,14976.043819168766,19992.0
2022-11-15,23:59:00,22047.850933521164,22284.0
2022-11-16,23:59:00,22563.87872921905,19740.0
2022-11-17,23:59:00,21945.570999553674,23089.0
2022-11-18,23:59:00,23263.785188993515,18513.0
2022-11-19,23:59:00,20350.396474821046,20625.0
2022-11-20,23:59:00,18049.132890832698,15548.0
2022-11-21,23:59:00,12914.97283002177,12935.0
2022-11-22,23:59:00,15751.830261724763,14153.0
2022-11-23,23:59:00,17840.935382747568,18016.0
2022-11-24,23:59:00,18811.099824324843,16878.0
2022-11-25,23:59:00,15746.199958274374,20494.0
2022-11-26,23:59:00,16898.221363757446,15871.0
2022-11-27,23:59:00,15092.72528596478,14925.0
2022-11-28,23:59:00,15268.426561167933,17562.0
2022-11-29,23:59:00,18527.577385721506,16395.0
2022-11-30,23:59:00,17100.659089014123,18161.0
2022-12-01,23:59:00,19387.35815761162,15858.0
2022-12-02,23:59:00,18222.13318151563,19662.0
2022-12-03,23:59:00,18890.559786697057,17254.0
2022-12-04,23:59:00,17683.656407713752,17997.0
2022-12-05,23:59:00,18147.1805447619,20404.0
2022-12-06,23:59:00,19161.919379292787,17803.0
2022-12-07,23:59:00,20705.887133362376,21663.0
2022-12-08,23:59:01,20006.871352874663,19103.0
2022-12-09,23:59:00,18996.037973389215,13728.0
2022-12-10,23:59:00,13026.474448147583,7420.0
2022-12-11,23:59:00,10583.015410675953,7606.0
2022-12-12,23:59:00,13494.337731991784,14002.0
2022-12-13,23:59:00,14043.814360195402,12710.0
2022-12-14,23:59:00,15188.62366817383,13257.0
2022-12-15,23:59:00,15752.740721175289,17561.0
2022-12-16,23:59:00,14646.626900445634,14585.0
2022-12-17,23:59:00,12502.441080207836,11678.0
2022-12-18,23:59:00,10829.42008625901,11230.0
2022-12-19,23:59:00,10284.635382325609,7524.0
2022-12-20,23:59:00,11085.58861213817,6985.0
2022-12-21,23:59:00,11257.933260037178,10796.0
2022-12-22,23:59:00,12478.606981038467,16537.0
2022-12-23,23:59:00,16456.865344995054,14036.0
2022-12-24,23:59:00,12724.060926379228,11709.0
2022-12-25,23:59:00,11926.052646584343,12788.0
2022-12-26,23:59:00,12173.118757837598,10212.0
2022-12-27,23:59:00,11611.612074028937,12675.0
2022-12-28,23:59:00,11088.189291928973,6488.0
2022-12-29,23:59:00,10974.695518528817,14552.0
2022-12-30,23:59:00,12530.976332995097,11487.5
2022-12-31,23:59:00,11507.169958069026,8423.0
2023-01-01,23:59:00,14224.788343449633,7868.0
2023-01-02,23:59:00,13112.563944048112,10546.0
2023-01-03,23:59:00,13939.777095850219,17060.0
2023-01-04,23:59:00,17254.195795197465,17763.0
2023-01-05,23:59:00,19509.606166092886,16820.0
2023-01-06,23:59:00,17847.289198111444,15954.0
2023-01-07,23:59:00,16959.957979499624,17261.0
2023-01-08,23:59:00,17129.561309644658,15321.0
2023-01-09,23:59:00,16074.251792580983,11239.0
2023-01-10,23:59:00,14495.832768393304,13995.0
2023-01-11,23:59:00,18753.798281452437,14936.0
2023-01-12,23:59:00,16742.403174214855,15786.0
2023-01-13,23:59:00,16129.824755151483,12384.0
2023-01-14,23:59:00,14928.059520413533,17859.0
2023-01-15,23:59:00,16178.350124416324,13973.0
2023-01-16,23:59:00,15119.91956112742,15784.5
2023-01-17,23:59:00,15847.07402416635,17596.0
2023-01-18,23:59:00,17577.43956564588,15318.0
2023-01-19,23:59:00,17107.910036911155,15876.0
2023-01-20,23:59:00,15475.001821880738,18598.0
2023-01-21,23:59:00,16992.745395980288,14858.0
2023-01-22,23:59:00,16666.644399462162,11710.0
2023-01-23,23:59:00,13247.949956419137,17384.0
2023-01-24,23:59:00,17646.996594643155,19679.0
2023-01-25,23:59:00,18706.199530064456,23080.0
2023-01-26,23:59:00,21450.84231303509,16208.0
2023-01-27,23:59:00,17848.83488514885,18832.0
2023-01-28,23:59:00,18867.459751816023,17360.0
2023-01-29,23:59:00,17868.143676981483,16043.0
2023-01-30,23:59:00,17654.50065516728,17830.0
2023-01-31,23:59:00,19201.460088046304,23381.0
2023-02-01,23:59:00,23460.681539655976,20697.0
2023-02-02,23:59:00,22823.036101503803,19475.0
2023-02-03,23:59:00,21880.448666472927,19856.0
2023-02-04,23:59:00,22229.528729747974,18903.0
2023-02-05,23:59:00,19108.20957067412,16560.0
2023-02-06,23:59:00,17545.165646613925,13474.0
2023-02-07,23:59:00,18734.371083981598,17407.0
2023-02-08,23:59:00,19193.11958561601,18666.0
2023-02-09,23:59:00,20027.863142240873,22216.0
2023-02-10,23:59:00,22193.46127150846,17557.0
2023-02-11,23:59:00,19207.841948718225,17366.0
2023-02-12,23:59:00,17432.124804730734,18189.0
2023-02-13,23:59:00,17924.19333066815,16205.0
2023-02-14,23:59:00,17194.941235766004,17334.0
2023-02-15,23:59:00,20278.950296349405,19020.0
2023-02-16,23:59:00,20493.312667186154,13416.0
2023-02-17,23:59:00,19258.85540655635,22369.0
2023-02-18,23:59:00,20573.2498121198,17942.0
2023-02-19,23:59:00,18409.86118256961,14484.0
2023-02-20,23:59:00,17838.51929518949,16449.0
2023-02-21,23:59:00,17450.233939528855,20340.0
2023-02-22,23:59:00,21964.246893615098,20688.0
2023-02-23,23:59:01,22399.02210024816,20743.0
2023-02-24,23:59:00,22486.331753871502,19535.0
2023-02-25,23:59:00,21360.493504180846,19312.0
2023-02-26,23:59:00,18622.66074055599,15531.0
2023-02-27,23:59:00,15572.939019745962,20857.0
2023-02-28,23:59:00,22732.96700293917,23447.0
2023-03-01,23:59:00,23756.939355257087,18856.0
2023-03-02,23:59:00,19327.9210317041,10274.0
2023-03-03,23:59:00,13302.049467839099,20679.0
2023-03-04,23:59:00,22244.05279499908,22280.0
2023-03-05,23:59:00,22061.109159990374,19199.0
2023-03-06,23:59:00,20034.7714419989,18576.0
2023-03-07,23:59:00,20323.42908933595,21478.0
2023-03-08,23:59:00,21905.368476045154,21039.0
2023-03-09,23:59:00,20187.291921455628,19832.0
2023-03-10,23:59:00,19217.364917912088,20768.0
2023-03-11,23:59:00,22200.924996126963,22277.0
2023-03-12,23:59:00,23174.38643287953,20509.0
2023-03-13,23:59:00,23084.667815621273,22200.0
2023-03-14,23:59:00,23644.018861899625,22101.0
2023-03-15,23:59:00,23496.038895039008,24861.0
2023-03-16,23:59:00,21395.18927564911,18209.0
2023-03-17,23:59:00,17776.230489730962,20614.0
2023-03-18,23:59:00,21717.858936972807,21601.0
2023-03-19,23:59:00,22394.443720519124,20636.0
2023-03-20,23:59:00,23272.918876294996,19673.0
2023-03-21,23:59:00,23059.58653948217,24742.0
2023-03-22,23:59:00,23793.767493944382,22212.0
2023-03-23,23:59:00,21661.822672361377,18998.0
2023-03-24,23:59:00,19289.208873944284,21157.0
2023-03-25,23:59:00,23069.218654341865,22642.0
2023-03-26,23:59:00,23349.969884732884,26724.0
2023-03-27,23:59:00,25230.502269649878,23301.0
2023-03-28,23:59:00,25236.180962917235,19449.0
2023-03-29,23:59:00,23499.592223297983,19689.0
2023-03-30,23:59:00,20673.392509908277,18098.0
2023-03-31,23:59:00,19292.911372454015,16507.0
2023-04-01,23:59:00,18845.056198257374,18733.0
2023-04-02,23:59:00,19897.51643667775,17718.0
2023-04-03,23:59:00,18299.96777616281,17689.0
2023-04-04,23:59:00,19314.309941531603,19560.0
2023-04-05,23:59:00,21770.279194498802,22763.0
2023-04-06,23:59:00,22457.20089857037,22314.0
2023-04-07,23:59:00,20233.36555024268,16616.0
2023-04-08,23:59:00,18373.457419161183,17990.0
2023-04-09,23:59:00,20828.387893746953,19346.0
2023-04-10,23:59:00,22542.500624229026,20041.0
2023-04-11,23:59:00,23197.4451375017,18525.0
2023-04-12,23:59:00,21710.329002020193,19313.0
2023-04-13,23:59:00,20782.26413812887,20101.0
2023-04-14,23:59:00,19932.553502097053,13306.0
2023-04-15,23:59:00,14833.097956545213,14738.0
2023-04-16,23:59:00,17148.457956187845,18249.0
2023-04-17,23:59:00,20236.043560943926,19022.0
2023-04-18,23:59:00,22300.326976318665,20520.5
2023-04-19,23:59:00,23306.811753822014,22019.0
2023-04-20,23:59:00,23574.992139314578,21073.0
2023-04-21,23:59:00,20516.025817915473,23331.0
2023-04-22,23:59:00,21547.803094880415,20900.0
2023-04-23,23:59:00,22561.921721701186,18255.0
2023-04-24,23:59:00,22652.933816101875,20767.0
2023-04-25,23:59:00,23921.029166043947,20378.0
2023-04-26,23:59:00,22430.09481205624,21941.0
2023-04-27,23:59:00,23838.617433464442,22115.0
2023-04-28,23:59:00,20871.262998569982,17634.0
2023-04-29,23:59:00,19697.78994776994,21227.0
2023-04-30,23:59:00,23125.503728523432,23396.0
2023-05-01,23:59:00,24320.71460246893,22853.0
2023-05-02,23:59:00,24635.206265280907,28453.0
2023-05-03,23:59:00,25019.290316316394,18731.0
2023-05-04,23:59:00,22274.39924102764,16584.0
2023-05-05,23:59:00,19079.746480157944,19394.0
2023-05-06,23:59:00,20320.511857989506,22576.0
2023-05-07,23:59:00,21930.091193990913,22261.0
2023-05-08,23:59:00,23491.65854417079,21874.0
2023-05-09,23:59:00,23812.387056211333,23306.0
2023-05-10,23:59:00,24564.904916541254,21576.0
2023-05-11,23:59:00,22174.6833405279,17470.0
2023-05-12,23:59:00,19684.0640886084,17137.0
2023-05-13,23:59:00,20297.528296218876,22400.0
2023-05-14,23:59:00,23350.02659118197,26671.0
2023-05-15,23:59:00,24850.891295386744,23012.0
2023-05-16,23:59:00,24817.052468139605,20774.0
2023-05-17,23:59:00,22912.087280843607,20222.0
2023-05-18,23:59:00,20729.68911552488,23511.0
2023-05-19,23:59:00,21486.22965345279,26964.0
2023-05-20,23:59:00,24726.4970287795,27685.0
2023-05-21,23:59:00,27039.564295916083,26505.0
2023-05-22,23:59:00,27154.809546047672,20871.0
2023-05-23,23:59:00,24096.46007197398,22330.0
2023-05-24,23:59:00,25364.21311146753,23634.0
2023-05-25,23:59:00,22345.251352119412,20153.0
2023-05-26,23:59:00,22537.87595459454,23916.0
2023-05-27,23:59:00,26981.347176169522,26527.0
2023-05-28,23:59:00,27194.354113894275,25618.0
2023-05-29,23:59:00,27057.663211078234,20698.0
2023-05-30,23:59:00,24210.68795869258,25510.5
2023-05-31,23:59:00,26414.11405046228,30323.0
2023-06-01,23:59:00,30278.24416208965,24229.0
2023-06-02,23:59:00,23499.068749827038,19314.0
2023-06-03,23:59:00,22005.64040386886,23218.0
2023-06-04,23:59:00,26020.378180296488,26048.0
2023-06-05,23:59:00,27748.66208957629,25599.0
2023-06-06,23:59:00,26802.212429009676,25886.0
2023-06-07,23:59:00,25970.207493447127,21782.0
2023-06-08,23:59:00,24707.059328969834,25215.0
2023-06-09,23:59:00,23774.17850879934,21135.0
2023-06-10,23:59:00,22781.12098476316,22112.0
2023-06-11,23:59:00,25105.878221660947,28448.0
2023-06-12,23:59:00,29697.062730901285,27131.0
2023-06-13,23:59:00,28712.764030671195,28126.0
2023-06-14,23:59:00,27630.767220253263,28815.0
2023-06-15,23:59:00,28320.86441763963,26819.0
2023-06-16,23:59:00,24454.896345623198,21344.0
2023-06-17,23:59:00,24502.10186412955,18188.0
2023-06-18,23:59:00,22468.914530236016,22578.0
2023-06-19,23:59:00,27033.72557217867,23093.0
2023-06-20,23:59:00,25956.577831852494,26090.0
2023-06-21,23:59:00,26349.603507949683,27874.0
2023-06-22,23:59:00,27911.214625624398,28265.0
2023-06-23,23:59:00,25995.28423201167,23887.0
2023-06-24,23:59:00,24041.367864749154,15073.0
2023-06-25,23:59:00,22626.424283924676,23541.0
2023-06-26,23:59:00,26259.856440156713,25694.0
2023-06-27,23:59:00,27557.97048218963,29129.0
2023-06-28,23:59:00,29507.067652456022,28539.0
2023-06-29,23:59:00,29989.81346582561,25359.0
2023-06-30,23:59:00,23719.501644930166,24829.0
2023-07-01,23:59:00,26366.871072377195,24299.0
2023-07-02,23:59:00,26460.179211505743,31768.0
2023-07-03,23:59:00,32013.649896592175,30326.0
2023-07-04,23:59:00,31297.167534035252,29582.0
2023-07-05,23:59:00,32071.34527242413,27968.0
2023-07-06,23:59:00,26976.09847839886,22348.0
2023-07-07,23:59:01,23962.821447593065,25520.0
2023-07-08,23:59:00,28260.04747263531,28079.0
2023-07-09,23:59:00,29064.425821356843,28299.0
2023-07-10,23:59:00,29725.44355370504,27855.0
2023-07-11,23:59:00,29441.34820717103,30621.0
