,dia,ET Servicios / Hl__Consolidado KPI,ET Elab/Hl__Consolidado KPI,Agua Bodega / Hl__Consolidado KPI,Agua Cocina / Hl__Consolidado KPI,EE Linea 2 / Hl__Consolidado KPI,EE Servicios / Hl__Consolidado KPI,EE Bodega / Hl__Consolidado KPI,EE Linea 4 / Hl__Consolidado KPI,ET Bodega/Hl__Consolidado KPI,EE Caldera / Hl__Consolidado KPI,Aire L4 / Hl__Consolidado KPI,EE Envasado / Hl__Consolidado KPI,Produccion Agua / Hl__Consolidado KPI,Aire Cocina / Hl__Consolidado KPI,EE Linea 3 / Hl__Consolidado KPI,Agua Linea 5/Hl__Consolidado KPI,EE Cocina / Hl__Consolidado KPI,ET Linea 3/Hl__Consolidado KPI,Agua Linea 4/Hl__Consolidado KPI,Agua Linea 2/Hl__Consolidado KPI,ET Cocina/Hl__Consolidado KPI,Agua Elab / Hl__Consolidado KPI,ET Envasado/Hl__Consolidado KPI,Aire Servicios / Hl__Consolidado KPI,EE Resto Planta / Hl__Consolidado KPI,EE Elaboracion / Hl__Consolidado KPI,Agua Planta de Agua/Hl__Consolidado KPI,ET Linea 5/Hl__Consolidado KPI,EE Frio / Hl__Consolidado KPI,Aire Elaboracion / Hl__Consolidado KPI,Aire L5 / Hl__Consolidado KPI,CO 2 / Hl__Consolidado KPI,Aire Planta / Hl__Consolidado KPI,CO 2 Linea 4 / Hl__Consolidado KPI,Agua Planta / Hl__Consolidado KPI,EE Resto Serv / Hl__Consolidado KPI,CO 2 Filtro / Hl__Consolidado KPI,EE Planta / Hl__Consolidado KPI,Agua Linea 3/Hl__Consolidado KPI,Agua Envas / Hl__Consolidado KPI,Aire L3 / Hl__Consolidado KPI,Aire Bodega / Hl__Consolidado KPI,CO 2 linea 3 / Hl__Consolidado KPI,EE Agua / Hl__Consolidado KPI,EE Aire / Hl__Consolidado KPI,EE Eflu / Hl__Consolidado KPI,Aire Envasado / Hl__Consolidado KPI,ET Linea 4/Hl__Consolidado KPI,ET Planta / Hl__Consolidado KPI,Agua Servicios/Hl__Consolidado KPI,EE CO2 / Hl__Consolidado KPI,EE Sala Maq / Hl__Consolidado KPI,Aire L2 / Hl__Consolidado KPI,ET Linea 2/Hl__Consolidado KPI,Linea 3 (Kw)__Consolidado EE,Sala Maq (Kw)__Consolidado EE,Servicios (Kw)__Consolidado EE,Linea 2 (Kw)__Consolidado EE,Cocina (Kw)__Consolidado EE,Elaboracion (Kw)__Consolidado EE,KW Gral Planta__Consolidado EE,Pta Agua / Eflu (Kw)__Consolidado EE,Linea 4 (Kw)__Consolidado EE,Prod Agua (Kw)__Consolidado EE,Bodega (Kw)__Consolidado EE,Aire (Kw)__Consolidado EE,Calderas (Kw)__Consolidado EE,Planta (Kw)__Consolidado EE,Efluentes (Kw)__Consolidado EE,Restos Planta (Kw)__Consolidado EE,Resto Serv (Kw)__Consolidado EE,Envasado (Kw)__Consolidado EE,FC Barriles__Consolidado Agua,Red L1 y L2__Consolidado Agua,Agua Servicios (Hl)__Consolidado Agua,Agua Bodega (Hl)__Consolidado Agua,Planta de agua (Hl)__Consolidado Agua,FC L1 y L2__Consolidado Agua,Agua Cocina (Hl)__Consolidado Agua,Agua Envasado (Hl)__Consolidado Agua,Produccion (Hl)__Consolidado Agua,Agua Elaboracion (Hl)__Consolidado Agua,FC Lavadora L3__Consolidado Agua,Red L3__Consolidado Agua,Red Paste L4__Consolidado Agua,Agua Planta (Hl)__Consolidado Agua,Agua Dilucion (Hl)__Consolidado Agua,Vapor Servicio (Kg)__Consolidado GasVapor,Vapor Cocina (Kg)__Consolidado GasVapor,Conversion Kg/Mj__Consolidado GasVapor,Tot_Vapor_CIP_Bodega__Consolidado GasVapor,ET Servicios (Mj)__Consolidado GasVapor,Vapor Envasado (Kg)__Consolidado GasVapor,Vapor Elaboracion (Kg)__Consolidado GasVapor,VAPOR DE LINEA 4 KG__Consolidado GasVapor,Vapor L3__Consolidado GasVapor,Tot_Vapor_L3_L4__Consolidado GasVapor,VAPOR DE LINEA 1 Y 2 KG__Consolidado GasVapor,Gas Planta (Mj)__Consolidado GasVapor,ET Elaboracion (Mj)__Consolidado GasVapor,ET Envasado (Mj)__Consolidado GasVapor,Tot Aire Expulsion__Consolidado Aire,Aire Planta (M3)__Consolidado Aire,Aire Elaboracion (m3)__Consolidado Aire,Aire Envasado (M3)__Consolidado Aire,Totalizador_Aire_Cocina__Consolidado Aire,Totalizador_Aire_L3__Consolidado Aire,Totalizador_Aire_Bodega__Consolidado Aire,Aire Producido (M3)__Consolidado Aire,Totalizador_Aire_L2__Consolidado Aire,Totaliador_Aire_L4__Consolidado Aire,Aire Servicios (M3)__Consolidado Aire,Totalizador_Aire_L5__Consolidado Aire,HORA,y,Frio
0,2020-07-01,5.547366398598433,17.41977683949649,1.418024917826846,1.4227053404198757,4.158962131837346,5.429388189192759,0.7988379770236207,1.521822726398769,2.050416665179639,0.1169160709633442,0.5845798884829839,2.358592581753812,72.56491359855697,1.3624333129049113,1.506837786661056,0.0,0.3192294461644307,12.04747317483694,0.3664679869255912,2.838709677419355,10.57447540419677,2.207600972159272,44.05609354521418,0.8019000645964861,0.6980277848038997,0.7696089592827846,27.435086401443016,0.0,3.419545255013365,4.585760935899586,0.0,0.7828751503385071,7.291765554013012,0.969236685252836,1.994282675650694,0.5441807845082638,0.3904647855699424,7.767254221077013,1.204334104775931,1.382464730675479,1.547736166631601,3.268049721449959,0.3227435304018514,0.07091038828359403,0.86566429099111,0.1220552389177769,1.90410455351694,5.435250913285907,67.0232367833091,0.997437853977863,0.3844383139246469,3.88521097355113,4.014193548387096,0.0,7162.0,27216.0,38033.0,2965.340000000028,928.0,5391.129999999888,65592.0,1590.3776375968575,7915.0,-164.0,5595.879999999888,6064.0,819.0,54409.81,855.0,4553.752204075446,3812.0,16522.0,3.0,150.6,6669.302097150259,9933.3,22107.77,51.8,5531.0,9684.2,25148.5,15464.3,113.0,459.42,190.6,13970.0,3874.0,14363.22,30740.0,2.705482496706308,14363.22,38859.44030634198,114069.87,45103.22,28268.74,57261.63999999998,85530.37999999999,0.0,469499.4492479998,122025.9722550939,308614.036686564,2325.6,43136.07,32123.37,13338.3,6905.000000000001,7356.39,22892.77,51079.0,2862.12,3040.4,5617.33,79.39000000000001,2025-11-06 23:59:00,23954.0,23954.0
1,2020-07-02,5.547366398598433,17.41977683949649,1.418024917826846,1.4227053404198757,4.158962131837346,5.429388189192759,0.7988379770236207,1.521822726398769,2.050416665179639,0.1169160709633442,0.5845798884829839,2.358592581753812,72.56491359855697,1.3624333129049113,1.506837786661056,0.0,0.3192294461644307,12.04747317483694,0.3664679869255912,2.838709677419355,10.57447540419677,2.207600972159272,44.05609354521418,0.8019000645964861,0.6980277848038997,0.7696089592827846,27.435086401443016,0.0,3.419545255013365,4.585760935899586,0.0,0.7828751503385071,7.291765554013012,0.969236685252836,1.994282675650694,0.5441807845082638,0.3904647855699424,7.767254221077013,1.204334104775931,1.382464730675479,1.547736166631601,3.268049721449959,0.3227435304018514,0.07091038828359403,0.86566429099111,0.1220552389177769,1.90410455351694,5.435250913285907,67.0232367833091,0.997437853977863,0.3844383139246469,3.88521097355113,4.014193548387096,0.0,7162.0,27216.0,38033.0,2965.340000000028,928.0,5391.129999999888,65592.0,1590.3776375968575,7915.0,-164.0,5595.879999999888,6064.0,819.0,54409.81,855.0,4553.752204075446,3812.0,16522.0,3.0,150.6,6669.302097150259,9933.3,22107.77,51.8,5531.0,9684.2,25148.5,15464.3,113.0,459.42,190.6,13970.0,3874.0,14363.22,30740.0,2.705482496706308,14363.22,38859.44030634198,114069.87,45103.22,28268.74,57261.63999999998,85530.37999999999,0.0,469499.4492479998,122025.9722550939,308614.036686564,2325.6,43136.07,32123.37,13338.3,6905.000000000001,7356.39,22892.77,51079.0,2862.12,3040.4,5617.33,79.39000000000001,2025-11-06 23:59:00,28268.0,23954.0
2,2020-07-03,4.936588257372378,20.50427586986268,1.152138813519579,1.3965493350314089,2.32008707511984,5.703346397347,0.8357618999765518,1.500923190546529,1.970632097276655,0.116571198874485,0.5818482274741507,1.98546209761163,80.89531680440771,1.49968523503831,1.44896174863388,0.0,0.2609235866639056,15.51219234972678,0.980003692762186,1.5030201585313947,9.60447297577138,2.278993735972934,48.02180507880789,1.817700063645194,0.2498026998961574,0.8625933742002478,19.10468319559229,0.0,3.787626034234415,4.909044987103475,0.0,0.6895427595216562,8.435735101999798,0.9603028064992616,4.863832780625063,0.4425015911298697,0.3660592015169072,8.801204569055036,1.45455737704918,1.655619200750343,1.628852459016394,3.421063209727667,0.3326775956284153,0.1263524603892406,1.001306401366697,0.1199209459685794,1.70899005125113,6.514115583456425,73.46266920604296,0.9292198439017852,0.1090677653837135,4.205406491809868,2.523587158469784,10.710637254482972,6629.0,31386.0,42565.5,1289.529999999944,1260.0,6437.75,68039.0,1926.0,8129.0,943.0,6237.5,7473.0,870.0,65685.59,895.0,1864.339999999997,3302.5,14818.0,1.0,30.9,6934.999999999998,8598.7,46955.43,7.5,8410.0,12356.3,29365.0,17008.7,107.0,558.46,249.02314246512702,36300.0,3074.0,14707.32,46380.0,2.505078580722689,14707.32,36842.9923118344,143068.86,61087.31999999999,35280.45,70968.28000000001,106248.73,1240.0,548270.2659520002,153028.5368857527,358398.736754413,3863.2,45528.85000000001,36637.43000000001,12754.62,7241.98,7452.0,25532.25000000001,62958.0,2020.56,3151.29,13565.94999999999,130.77,2025-11-06 23:59:00,24246.0,28268.0
3,2020-07-04,3.65974511700049,17.83275336382882,0.5690473068349237,1.513400613183444,4.348182492581601,3.058398833720294,0.3710767260862523,1.536507339104253,1.275730274677384,0.0734324259697785,0.5735434700790366,1.442114113372878,80.13659022931206,0.9668536024527336,1.355238095238095,1.765273311897106,0.258048032703117,11.59860761904761,0.3845502446368084,3.186350148367953,8.1821665815023,1.482856768201908,27.52973530518319,0.8334549493609382,0.2359008970789008,0.4392254113218608,19.86340977068794,13.01,1.87021281519249,2.945488765301636,7.565337620578779,0.2757634426849117,5.35586186681888,0.9700790365073392,3.09465223729781,0.3083853351125784,0.3957396449704142,5.175639255493933,1.150266666666667,0.9970920142236758,1.469716190476191,1.878641345849756,0.308952380952381,0.0779833851422753,0.6249469697554053,0.064330507624785,1.576918152156306,5.595812946932632,49.0222337860125,0.6147034548722261,0.0391073949229808,2.165176677491265,5.435459940652819,0.0,7115.0,28070.0,39650.0,5861.349999999998,2020.0,5694.25,69857.0,1956.0,8165.0,1011.0,4810.75,8102.0,952.0,67098.54,834.0,3058.289999999994,3998.0,18696.0,54.9,296.02,7969.200000000001,7377.3,51124.18,133.5,11846.9,12926.6,32150.8,19224.2,120.0,483.89,204.35,40120.0,2251.0,16538.95,64050.0,2.868745211777618,16538.95,47446.03362032945,124411.1,80588.95000000001,29736.15000000001,60892.68999999996,90628.83999999995,0.0,635538.9454720018,231189.1644346859,356903.7474169864,6262.400000000001,52367.43999999999,38186.19999999999,20443.64,7568.529999999999,7716.01,24355.26999999999,69435.0,7327.000000000001,3047.81,10805.16000000001,2352.82,2025-11-06 23:59:00,29885.0,24246.0
4,2020-07-05,3.91523285419124,25.15663399892366,1.039962509716325,1.47536684358414,5.125920217588396,5.094300971772847,0.7177873997850482,1.471989814477992,1.363220797005267,0.0983278098771183,0.5676755183703165,1.664725740054271,79.0803800719055,1.090081173899469,2.704347826086956,1.177718832891247,0.3015922572588198,24.77810869565218,0.5365951255001818,3.811876699909338,10.28566968467062,2.100825291349454,33.07870949579147,1.489162333489542,0.3632729915618799,0.8023650307695329,20.91961992809451,13.3084350132626,3.354482418011051,3.886420154956098,8.189734748010611,0.5414483708844171,7.456637828706445,0.9672608221171336,4.370873192482861,0.4245157271178783,0.4206607724523034,7.92466473415853,2.0037839928520036,1.355677841727023,2.267027607040836,2.52735696306253,0.3021739130434782,0.1142667927567425,0.8752971020796444,0.0913685356620711,2.081055340260804,5.760076391415059,62.15057634890637,0.9143700594063848,0.1360425862683418,3.756099888034258,6.991350861287398,0.543970988213962,3732.0,33463.0,45385.0,5653.89,1932.0,7148.25,73431.0,1940.0,8093.0,1018.0,6394.75,7798.0,876.0,70600.64,814.0,3236.389999999999,3782.0,14831.0,44.4,286.04,8146.099999999999,9265.0,49146.08,134.41,9451.2,12077.7,30793.9,18716.2,38.0,409.9,295.02,38940.0,4446.0,12144.9,65890.0,2.872046012496472,12144.9,34880.7116171684,102608.87,78034.9,31668.89999999999,34193.79000000001,65862.69,60.0,553697.9309279982,224119.8233805609,294697.3959302689,5124.8,48039.29000000001,34624.02,18540.07,6983.060000000001,4620.0,22516.16,66431.0,7711.460000000001,3121.08,13266.90999999999,3087.53,2025-11-06 23:59:00,24449.0,29885.0
5,2020-07-06,3.455780459781996,24.54961832309814,0.5916077546499955,1.513914027149321,4.262116564417158,4.185409830975128,0.627063645679153,1.507763401109057,1.245847867264239,0.0933621769327109,0.5789094269870609,1.868485607526938,81.76324503311258,1.143375888817065,1.837733773377338,0.0,0.2871687136393019,15.52401265126514,0.6050277264325323,3.882822085889571,11.87297996121526,1.561259871859895,40.32109645564882,1.395903242834815,0.3138697690786954,0.6850009833045243,18.23675496688742,0.0,2.530611822425554,3.464463374494116,0.0,0.3957428089387556,6.891515634541935,0.965988909426987,3.751047995611357,0.3815739082732138,0.4866745632217945,7.052766190885285,1.611056105610561,1.505718692101477,1.90504400440044,2.219743719789263,0.3938393839383938,0.1008145901690249,0.8153147092006252,0.0909815449266661,2.031149017213004,6.098127541589648,68.32649523852896,0.684069431649985,0.1727510790473332,2.918861850889632,6.216388036809815,15.78744630603046,6682.0,28200.0,40436.5,5557.799999999975,1777.0,6618.0,70868.0,1952.0,8157.0,974.0,6058.25,7877.0,902.0,68138.89,879.0,3032.389999999999,3686.5,18052.0,35.3,350.61,6609.0,5715.700000000001,49278.82000000001,155.71,9368.1,14547.2,29631.0,15083.8,98.0,487.78,327.32,36240.0,2203.0,12036.50999999999,73470.0,2.77383824348518,12036.50999999999,33387.33175609179,140438.6900000001,85506.51,32990.87,56445.31000000006,89436.18000000005,2200.7914173395993,660122.7684479998,237181.227504948,389554.20918696,4950.400000000001,48144.36,33471.22,19623.54,7075.209999999999,6926.739999999998,21445.61,66581.0,8106.169999999998,3131.9,13486.24,1458.73,2025-11-06 23:59:00,24435.0,24449.0
6,2020-07-07,4.76815631747016,23.53823427062559,0.6340305235428115,1.715418341249543,2.431646555079777,3.765790322813675,0.5507770548489475,1.497894929525901,1.576223614569236,0.0866872468611992,0.5712319238513636,1.904037217724653,81.53956012567838,1.304408111070515,1.560583941605839,0.0,0.293204238217026,12.37737851929093,0.3735127219476478,1.699104710003893,11.76835951772013,1.538486729627293,35.8744149244426,1.061791632754294,0.2759621080412055,0.5858131504553489,18.46043987432162,0.0,2.35355875228156,3.1455613721628,0.0,0.3132684463237385,5.816040030244217,0.9732747574592716,3.372133902900652,0.364086436817037,0.3502204902061327,6.531602799034882,1.264796663190824,1.211136421646769,1.548525547445256,2.036009882346143,0.3099061522419186,0.0912142475306174,0.6987955288644453,0.0815823312127064,1.608687025327124,5.523099029837086,64.18080551253836,0.6225107516265898,0.0898657792461099,2.677961693868804,2.340735694822888,12.06695212144803,7483.0,27803.0,39097.0,6246.899999999949,1605.0,6082.0,70698.0,1898.0,8183.0,947.0,5718.25,7255.0,900.0,67812.08,847.0,2865.080000000002,3780.0,19768.0,10.4,346.82,6462.999999999998,6582.6,45986.92,89.68,9390.2,12574.2,28547.0,15972.8,120.0,486.47,204.05,35010.0,2155.0,16364.59,64420.0,3.02505068024453,16364.59,49503.71411142282,123123.08,80784.59,30172.69,59349.53000000003,89522.22000000003,3100.0,666334.7499520001,244377.4789327754,372453.5569078018,4379.2,44980.12,32657.69000000001,16701.63,7140.330000000002,7425.18,21138.16,60383.0,6013.349999999999,3120.639999999999,11023.68,142.46,2025-11-06 23:59:00,33401.0,24435.0
7,2020-07-08,2.961204151979181,17.65184254946564,0.7665318420609603,1.533656704741042,2.370988970588256,4.236097021915833,0.6569785762694305,1.431909328683522,1.035615279354569,0.0766644075991004,0.5504585876198781,1.700085038785456,81.25283303953665,1.161409795024253,1.806339772164438,0.0,0.2592708496322954,13.69078008915303,0.5813251961639058,1.669779411764706,9.311531841652323,1.612741141073734,30.32010511083097,0.877738399975827,0.2642271614744084,0.6955697814460047,18.74716696046335,0.0,2.883634997992739,3.079066213702035,0.0,0.3575712577538537,5.324809310236166,0.9714036617262424,3.428314893874186,0.3443423307533918,0.4704100400302932,6.895979003621702,1.385958395245171,1.172861835715427,1.81455671124319,1.996840183200306,0.3452204061416543,0.0870244626800599,0.6336900357853569,0.0777867468995376,1.368004696558303,5.805701830863123,50.9331518122758,0.6427119170850255,0.1329540402056471,3.178723900215402,1.916860294117647,2.683823529411764,7294.0,36819.0,49066.5,6449.090000000056,1657.0,8056.75,82741.0,2037.0,8212.0,1008.0,7609.75,7340.0,888.0,79875.78,901.0,3060.529999999999,3988.5,19692.0,11.3,369.9,7444.499999999996,8878.7,51427.17,84.28,9801.6,13585.2,32265.5,18680.3,95.0,464.65,333.39,39710.0,3096.0,11995.48000000001,59510.0,2.859366997583025,11995.48000000001,34299.47963216725,122823.08,71505.48000000001,33295.70000000001,55283.36999999994,88579.06999999995,730.0,589956.1507839999,204460.4096583331,351196.2614934996,5112.8,46397.39999999999,35664.66999999999,15845.53,7422.57,7327.18,23129.29999999999,61677.0,5213.860000000001,3156.880000000001,10166.80000000001,147.6099999999997,2025-11-06 23:59:00,30921.0,33401.0
8,2020-07-09,2.553122037308228,17.53970348987279,0.7307740005270582,1.308099623273336,4.683727506426735,3.636856872684432,0.508243035855462,1.48589001447178,0.8980312824567116,0.0678975026740454,0.5667619392185241,1.363685687268443,82.08212318477717,0.7691963164503979,1.542133665421337,0.0,0.194118878191712,12.13881693648818,0.501212011577424,2.49961439588689,7.116994558392633,1.699646560944984,27.01882974324637,0.5158489513091186,0.1746027686059312,0.5745903672355795,17.91787681522283,0.0,2.396642328977352,3.005174471779133,0.0,0.2981762234726936,4.545567285185014,0.986794500723589,3.095692073974174,0.2831387868359454,0.4684130660490376,5.749735695794386,1.252947281029473,0.8413632206358803,1.560251141552512,1.842914942101103,0.3304275633042756,0.0801438558960765,0.5448077012509883,0.0668123827682959,1.024543862096762,5.772134587554267,47.11165527042738,0.5546822923933095,0.1974143142817281,2.655520935063325,3.158586118251925,0.1285347043701799,7430.0,34261.0,46922.0,3643.94,1855.0,7413.25,76628.0,2002.0,8214.0,1034.0,6557.25,7029.0,876.0,74181.94,862.0,2252.690000000002,3653.0,17594.0,10.3,160.27,7156.4,9428.3,48602.25,34.2,12500.2,10855.1,32783.6,21928.5,120.0,483.67,277.07,39940.0,4337.0,11586.22,68010.0,2.843021270176406,11586.22,32939.86990094329,122613.06,79596.22,31908.35999999999,58484.82000000007,90393.18000000004,10.0,607825.153968,226293.7464856407,348591.537581416,7644.8,44345.82000000001,38772.16000000002,13218.46,7350.440000000002,7517.290000000001,23776.92000000001,58646.0,2457.379999999997,3133.060000000001,6655.379999999986,110.7300000000005,2025-11-06 23:59:00,27721.0,30921.0
9,2020-07-10,2.487633122702196,16.8440558832065,0.7191856634895001,1.564505224339275,2.6220866965796006,3.901637235177598,0.4649401869034593,1.432624113475177,0.8863296075382463,0.075950321746325,0.5402214149801067,1.428149975267345,79.29761211415259,1.082252612169638,1.412304866850321,0.0,0.2258758451137062,11.03593204775022,0.2879605604566684,1.6717709135326029,8.858328211432083,1.622586348018393,30.33520347194838,0.92505717346796,0.1570512465035911,0.4980131803975512,20.70238788584741,0.0,2.45960148262836,3.156193699938557,0.0,0.3246627819023517,5.158943350021405,0.9754367756443522,3.046885570991591,0.3002078430241714,0.3924029996739485,5.984851637346085,1.152139577594123,0.7935211536286019,1.391652892561984,2.069314428564775,0.3120293847566575,0.0761277757690968,0.6123051055740526,0.0501307614330299,1.077692476614887,5.099167964020067,49.66689247785706,0.6307780693445959,0.3273139450025619,2.749738809860232,2.8333869700288346,6.787135527418832,7690.0,30991.0,43973.5,1276.570000000023,1470.0,5612.870000000112,69882.0,1538.0,8282.0,858.0,5240.120000000112,6901.0,856.0,67452.42,565.0,1770.049999999886,3383.5,16096.0,1.3,91.94,7109.200000000003,8105.599999999999,41454.66,7.29,10181.8,8943.4,27230.8,18287.4,182.0,445.34,166.47,34340.0,3827.0,9989.399999999994,57650.0,2.806668198314532,9989.399999999994,28036.93130024317,121814.78,67639.4,29478.29000000001,60090.64999999994,89568.93999999994,2490.0,559771.953344,189841.3529330759,341893.669110681,5206.400000000001,42511.72000000002,35571.96000000001,12146.16,7043.300000000003,7577.550000000003,23322.26000000001,58144.0,1348.090000000004,3123.019999999997,10425.87999999998,97.5,2025-11-06 23:59:00,29046.0,27721.0
